,lat,lon,elvt,Day sin,Day cos,Year sin,Year cos,smax,smin,tmax,tmin,dmax,dmin,hmax,hmin,Gx,Gy,prcp,stp,gbrd,temp,dewp,hmdy,Wx,Wy,target
21,-21.450972,-54.341972,5.0,0.5000000000083253,-0.866025403779632,0.9244651073655633,-0.38126665899810536,955.4928255480119,954.8985947847194,24.913867082371514,23.495292288117625,17.749739031977505,16.62192789592909,72.16093081146795,65.99055420427858,3.050102741126041,3.050102741126041,0.0,969.2,20.0,18.6,13.2,71.0,1.3435028842544403,1.3435028842544403,3161.4951719422306
22,-16.34166666,-53.76611111,526.0,0.9659258262888849,0.2588190451032051,0.37808041735104636,0.9257727572226667,955.7,955.4,22.3,22.2,21.4,21.2,94.0,94.0,0.9811224542896037,0.8528767376876594,0.0,955.4,1549.6164658769599,22.2,21.2,94.0,0.22641287406683158,0.19681770869715215,5289.294515927668
23,-15.57999999,-54.3811111,680.0,0.25881904511420273,-0.9659258262859381,-0.8727648116765255,0.48814094634566246,955.4928255480119,954.8985947847194,24.913867082371514,23.495292288117625,17.749739031977505,16.62192789592909,72.16093081146795,65.99055420427858,-4.2503424510589385,0.7354199559268639,0.15857694008505133,955.2344215023717,1549.6164658769599,24.19279016924677,17.17139968745509,69.09971393312566,-1.6738642584211414,0.2896221171188069,5350.845093383181
24,-15.22027777,-48.99027777,667.0,-0.9659258262902468,0.2588190450981223,0.8934121740446557,-0.44923789607378606,937.4,937.1,30.4,29.1,19.5,17.7,56.0,47.0,-5.914454374844575,3.5537627168793753,0.0,937.1,2012.0,29.1,19.2,55.0,-2.314351711895703,1.3906028022571468,5725.8420713891755
25,-13.18472221,-53.2575,379.0,-0.2588190451054869,0.9659258262882735,-0.08927807122302432,0.9960067399363804,967.4,966.7,26.3,25.3,19.8,19.3,70.0,66.0,-1.4832815729997482,-4.565071278216736,0.15857694008505133,967.4,1549.6164658769599,25.5,19.8,70.0,-0.46352549156242134,-1.4265847744427302,5099.508192939722
26,-18.99667,-57.6375,111.73,-0.8660254037902785,0.49999999998988504,-0.27660734902384126,0.9609830250665216,993.0,992.3,34.8,33.0,22.2,21.0,51.0,45.0,8.053454528090771,2.0079517334772423,0.0,992.3,1640.0,34.1,21.5,48.0,2.9108871788279895,0.7257656867990032,4977.312239399436
27,-9.84944444,-56.1,289.0,1.0593942425105888e-11,-1.0,0.9585672777829,-0.28486623872245864,981.0,980.4,24.4,22.9,23.1,22.6,99.0,92.0,0.5080359807593016,-2.0376210251795928,0.0,980.9,595.0,24.4,23.1,92.0,0.2661140851596342,-1.0673252989035964,4181.193460340907
28,-15.78944444,-47.92583332,1159.54,-0.2588190450984793,-0.9659258262901512,-0.9997243995629116,0.023476049892943513,896.7,893.0,25.8,23.4,10.9,10.0,45.0,38.0,2.3794308566870956,7.323135175472682,0.0,896.7,1549.6164658769599,25.0,10.4,40.0,1.2669696769372845,3.899331716810129,5573.0090623218075
29,-15.90583333,-52.24388888,347.0,0.25881904510036635,0.9659258262896455,-0.1287982265830448,-0.9916708208014707,978.3,977.9,23.1,22.3,19.6,18.9,83.0,78.0,0.7216649318895578,-0.8301805382450496,0.15857694008505133,978.3,1549.6164658769599,22.3,18.9,81.0,0.0,-0.0,5130.221080824696
30,-21.75138888,-52.47055554,387.0,-0.9659258262879558,-0.2588190451066727,0.5569845143130122,-0.8305228779603232,963.6,962.0,24.3,22.3,20.3,19.4,84.0,77.0,-2.689819683449177,8.798003754859927,0.0,962.0,1688.0,23.3,19.6,80.0,-1.8127045692809673,5.92908948697082,5267.304341334059
31,-20.45,-54.6,530.0,0.8660254037786133,0.5000000000100898,0.05075504691107571,0.9987111320161874,954.3,953.7,24.0,23.1,20.6,19.9,85.0,78.0,3.1862984419735803,2.5802136033043332,0.0,953.7,1549.6164658769599,23.3,20.4,83.0,2.1760086920795185,1.7620970949395445,5255.686575291973
32,-20.98166666,-54.97194443,464.0,-0.2588190450963346,-0.9659258262907259,-0.9352690061021591,-0.3539376869233898,962.7,962.5,25.8,22.1,13.1,11.9,55.0,45.0,-6.171604565055208,3.7082741393523917,0.0,962.6,1975.0,25.8,13.1,45.0,-3.342952472738238,2.008648492149212,5501.334802939297
33,-11.61888888,-50.72777777,218.0,1.2215026429986986e-11,-1.0,0.8547507730146483,0.5190386459897386,955.4928255480119,954.8985947847194,24.913867082371514,23.495292288117625,17.749739031977505,16.62192789592909,72.16093081146795,65.99055420427858,-4.2503424510589385,0.7354199559268639,0.15857694008505133,955.2344215023717,1549.6164658769599,24.19279016924677,17.17139968745509,69.09971393312566,-1.6738642584211414,0.2896221171188069,4897.9250578886995
